zly
id,lyn,nas,ty1,ty2,leng,area,ly,pro1,sss1,ssx1,xz1,cun1,pro2,sss2,ssx2,xz2,cun2,detail,pic,jst,remark,update_time
20032,GC2BC0GAAA0K,崧北河,1,-1,26,0,,浙江省,,上虞市,沥海镇,钱塘江水域,浙江省,,上虞市,百官街道,百官镇,,,,,21/12/2021 15:14:30
20033,GA6AM000000P,官河,1,-1,22,0,,浙江省,,杭州萧山区,衙前镇,四翔村,浙江省,,杭州滨江区,西兴街道,西兴社区,萧绍运河,,,,21/12/2021 15:14:30
20034,FHCFD000000P,太平港,1,-1,2.7,0,,浙江省,,杭州西湖区,三墩镇,华联村,浙江省,,杭州余杭区,良渚镇,勾庄村,,,,,21/12/2021 15:14:30
20035,GA6AKH00000P,永丰直河,1,-1,6.4,0,,浙江省,,杭州萧山区,南阳街道,赭东村,浙江省,,杭州萧山区,河庄街道,三联村,,,,,21/12/2021 15:14:30
20036,FHBA21A0000P,胥仓桥港,1,-1,3.7,0,,浙江省,,长兴县,吕山乡,胥仓村,浙江省,,长兴县,吕山乡,斗门村,,,,,21/12/2021 15:14:30
20037,GB17A000000L,源口溪,1,1,17,53.1,GB000000000S,,,,,,,,,,,,,,,21/12/2021 15:14:30
20038,FHCRA000000P,西大港,1,-1,11,0,,浙江省,,嘉兴秀洲区,王江泾镇,大坝村,浙江省,,嘉善县,陶庄镇,汾湖村,,,,,21/12/2021 15:14:30
20039,GC1BC000000L,泗溪,1,1,51,244,GC1B0000000S,浙江省,,文成县,南田镇,十源乡十源村,浙江省,,文成县,峃口镇,峃口村,,,,,21/12/2021 15:14:30
20040,F8B1BAC0000R,桥头河,1,3,27,112,F8B1BA00000R,浙江省,,安吉县,杭垓镇,岭西村,安徽省,,宁国市,中溪镇,石口村,,,,,21/12/2021 15:14:30
20041,GBA2C000000R,十三都源,1,2,21,71.5,GBA00000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20042,GAAC0000000L,周公源,1,2,81,423,GAA00000000R,福建省,,浦城县,忠信镇,忠信镇际洋村,浙江省,,遂昌县,湖山乡,黄泥岭村,,,,,21/12/2021 15:14:30
20043,GA6AJE00000P,三官埠直河,1,-1,7.8,0,,浙江省,,杭州萧山区,党山镇,群益村,浙江省,,杭州萧山区,党湾镇,永和村,,,,,21/12/2021 15:14:30
20044,GAFDEA00000L,东溪,1,4,20,55.4,GAFDE000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20045,FHCTB000000P,百步亭港,1,-1,8.7,0,,浙江省,,海盐县,百步镇,逍恬村,浙江省,,海盐县,沈荡镇,永庆村,,,,,21/12/2021 15:14:30
20046,GBBA0000000L,浣溪,1,2,18,81.1,GBB00000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20047,FHB1A2AE000P,横山港,1,-1,11,0,,浙江省,,长兴县,洪桥镇,排田漾村,浙江省,,长兴县,洪桥镇,图影村,,,,,21/12/2021 15:14:30
20048,GC1A1A00000L,怀溪,1,1,18,102,GC1A0000000S,浙江省,,平阳县,怀溪乡,怀溪林场,浙江省,,平阳县,南雁镇,东门村,,,,,21/12/2021 15:14:30
20049,GA1CC000000L,卅二都溪,1,2,23,85.3,GA1C0000000R,,,,,,,,,,,大门溪（江山市凤林镇茅坂北以上）,,,,21/12/2021 15:14:30
20050,FHBA1AE0000R,晓墅港,1,4,30,134,FHBA1A00000M,浙江省,,安吉县,昆铜乡,铜山村,浙江省,,长兴县,吴山乡,吴山村,昆铜港（上游段）,,,,21/12/2021 15:14:30
20051,GA6AB1C0000P,谢墅江,1,-1,3.7,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20052,GBA00000000L,松阴溪,1,1,118,1984,GB000000000S,浙江省,,遂昌县,垵口乡,桂洋村,浙江省,,丽水莲都区,大港头镇,大港头村,松荫溪,,,,21/12/2021 15:14:30
20053,GAEG0000000L,永兴河,1,2,43,264,GAE00000000R,浙江省,,富阳市,上官乡,大盛村,浙江省,,杭州萧山区,义桥镇,罗幕村,常绿溪（富阳萧山交界以上）,,,,21/12/2021 15:14:30
20054,GA6AME00000P,史家桥河,1,-1,9.4,0,,浙江省,,杭州萧山区,蜀山街道,知章村,浙江省,,杭州萧山区,蜀山街道,赵家墩村,,,,,21/12/2021 15:14:30
20055,GC2114B0000S,玉环湖,1,0,22,118,,浙江省,,玉环县,清港镇,朱家前村、小路村、柏台村,浙江省,,玉环县,芦浦镇,分水村,,,,,21/12/2021 15:14:30
20056,FHBA1BE0000L,湘溪港,1,3,19,129,FHBA1B00000M,浙江省,,德清县,武康镇,山民村,浙江省,,德清县,三合乡,朱介村,,,,,21/12/2021 15:14:30
20057,GC22B000000S,海游溪,1,0,52,461,,浙江省,,临海市,汇溪镇,箬坑村,浙江省,,三门县,六敖镇,峋岩村,海游港(三门县境内),,,,21/12/2021 15:14:30
20058,GA6AGA00000P,东小江,1,-1,13,0,,浙江省,,绍兴县,钱清镇,钱清镇,浙江省,,绍兴县,华舍街道,蜀阜村,,,,,21/12/2021 15:14:30
20059,GA7ABA00000P,半掘浦,1,-1,24,0,,浙江省,,慈溪市,观海卫镇,白洋村,浙江省,,慈溪市,,逍林镇区农垦场,,,,,21/12/2021 15:14:30
20060,GA1BB000000R,前溪,1,2,16,57.6,GA1B0000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20061,FHCBC000000P,幻溇港,1,-1,12,0,,浙江省,,湖州吴兴区,织里镇,云村,浙江省,,湖州吴兴区,织里镇,幻娄村,,,,,21/12/2021 15:14:30
20062,GAAD0000000L,洋溪源,1,2,44,186,GAA00000000R,浙江省,,遂昌县,西畈乡,湖岱口村,浙江省,,衢州衢江区,,乌溪江水库,杨溪（衢州市衢江区岭洋乡大日坂村下斗潭以上）,,,,21/12/2021 15:14:30
20063,GA3C0000000R,大溪,1,1,31,107,GA000000000S,浙江省,,建德市,三都镇,寿峰村,浙江省,,建德市,大洋镇,麻车村,,,,,21/12/2021 15:14:30
20064,FHCCC000000P,刑窑塘,1,-1,8.3,0,,浙江省,,湖州南浔区,双林镇,岂山村,浙江省,,湖州南浔区,双林镇,三田漾村,,,,,21/12/2021 15:14:30
20065,GC2ABD00000R,崔岙溪,1,2,29,95.6,GC2AB000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20066,GACD0000000L,云源港,1,2,72,274,GAC00000000L,安徽省,,歙县,金川乡,皂汰村,浙江省,,淳安县,宋村乡,白云溪村,皂汰源（安徽境内）,,,,21/12/2021 15:14:30
20067,GA6AGD00000P,十二埭横河,1,-1,5.8,0,,浙江省,,杭州萧山区,党湾镇,永乐村,浙江省,,杭州萧山区,党山镇,十四工段,,,,,21/12/2021 15:14:30
20068,FHCV0000000P,长山河,1,-1,65,0,,浙江省,,桐乡市,洲泉镇,合兴村,浙江省,,海盐县,澉浦镇,澉南村,,,,,21/12/2021 15:14:30
20069,GC2A4A00000R,义城港,1,1,43,215,GC2A0000000S,浙江省,,临海市,尤溪镇,白岩村,浙江省,,临海市,江南街道,增棚埠村,,,,,21/12/2021 15:14:30
20070,GA12B000000L,马尪溪,1,1,58,275,GA000000000S,浙江省,,开化县,大溪边乡,下湾村,浙江省,,开化县,华埠镇,下界首村,蚂蟥溪（开化县华埠镇下界首以上）,,,,21/12/2021 15:14:30
20071,GB3A0000000L,官庄源,1,1,25,99,GB000000000S,,,,,,,,,,,,,,,21/12/2021 15:14:30
20072,FHB1A2AB000P,北塘港,1,-1,14,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20073,GA6AJA00000P,先锋河,1,-1,20,0,,浙江省,,杭州萧山区,宁围镇,利二村,浙江省,,杭州萧山区,宁围镇,红山农场,,,,,21/12/2021 15:14:30
20074,GA1CA000000L,周村溪,1,2,26,123,GA1C0000000R,浙江省,,江山市,廿八都镇,周村村,浙江省,,江山市,双溪口乡,日西山村,小源溪（江山市双溪口乡定村村白水湾口以上）,,,,21/12/2021 15:14:30
20075,FHCUAA00000P,湘庄港,1,-1,2.5,0,,浙江省,,桐乡市,高桥镇,湘庄村,浙江省,,桐乡市,高桥镇,骑力村,,,,,21/12/2021 15:14:30
20076,FHCB1D00000P,新景港,1,-1,5.3,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20077,GA6ADA00000P,南大江,1,-1,4.3,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20078,GB1AA000000L,竹垟溪,1,2,22,86,GB1A0000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20079,GBC7B000000R,林坑溪,1,2,25,98.4,GBC00000000R,,,,,,,,,,,黄寮溪,,,,21/12/2021 15:14:30
20080,GC22A000000S,健跳港,1,0,32,256,,浙江省,,三门县,亭旁镇,葫芦田村,浙江省,,三门县,健跳镇,外七市村,白溪(三门县横渡镇下罗渡口以上)、健跳港(三门县横渡镇下罗渡口以下),,,,21/12/2021 15:14:30
20081,GB52A000000L,乌牛溪,1,1,19,85,GB000000000S,,,,,,,,,,,,,,,21/12/2021 15:14:30
20082,GAF6B000000R,里东江,1,2,33,141,GAF00000000R,浙江省,,余姚市,四明山镇,棠溪村,浙江省,,嵊州市,仙岩镇,张溪村,,,,,21/12/2021 15:14:30
20083,GDDBA000000L,大石溪,1,3,76,620,GDDB0000000L,浙江省,,龙泉市,宝溪乡,高山村,福建省,,浦城县,万安乡,浦潭村,富岭溪,,,,21/12/2021 15:14:30
20084,FHBA1AB0000R,大溪,1,4,28,89.3,FHBA1A00000M,,,,,,,,,,,龙王溪,,,,21/12/2021 15:14:30
20085,GACGE000000R,南浦溪,1,3,14,50,GACG0000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20086,GABBD000000R,小白溪,1,3,29,122,GABB0000000L,浙江省,,永康市,花街镇,林场,浙江省,,武义县,白洋街道,童庐,,,,,21/12/2021 15:14:30
20087,GB1D0000000L,大贵溪,1,1,35,188,GB000000000S,浙江省,,龙泉市,城北乡,鹤场村,浙江省,,龙泉市,龙渊街道,梧桐口村,,,,,21/12/2021 15:14:30
20088,GAEA0000000R,洪巡溪,1,2,17,82.1,GAE00000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20089,GAB3A000000L,白沙溪,1,2,69,322,GAB00000000R,浙江省,,遂昌县,,牛头山林场,浙江省,,金华婺城区,乾西乡,杨石,,,,,21/12/2021 15:14:30
20090,GABBBA00000R,酥溪,1,4,28,147,GABBB000000R,浙江省,,永康市,唐先镇,石湖坑村,浙江省,,永康市,东城街道,塔海村,,,,,21/12/2021 15:14:30
20091,FHCJGA00000P,黄山港,1,-1,5.8,0,,浙江省,,海宁市,黄湾镇,闸口村,浙江省,,海宁市,袁花镇,袁花镇镇区,,,,,21/12/2021 15:14:30
20092,GBD1A000000L,潘坑溪,1,2,15,50.5,GBD00000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20093,GE2C0000000S,交溪,1,0,169,5687,,浙江省,,泰顺县,九峰乡,九峰乡塆头村,福建省,,福安市,下白石镇,白马村,仕阳溪、赛江，东溪（牛渡潭汇合断面至西溪汇合断面）、白石溪（上白石汇合断面至西溪汇合断面）、富春溪（福安岩湖汇合断面至福安江家渡汇合断面）、象江（穆阳溪汇合断面至利洋溪汇合断面）、白马河（利洋溪汇合断面以下）,,,,21/12/2021 15:14:30
20094,GA6AMA00000P,长山直河,1,-1,12,0,,浙江省,,杭州萧山区,新塘街道,行头村,浙江省,,杭州萧山区,新塘街道,一号坝闸,,,,,21/12/2021 15:14:30
20095,GB2A0000000L,宣平溪,1,1,78,831,GB000000000S,浙江省,,武义县,西联乡,三角坟林场,浙江省,,丽水莲都区,联城镇,港口村,西溪（武义境内）,,,,21/12/2021 15:14:30
20096,GC2BCE1A000P,郭家港,1,-1,3.8,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20097,GABB0000000L,武义江,1,2,126,2554,GAB00000000R,浙江省,,武义县,泉溪镇,董源坑,浙江省,,金华婺城区,江南街道,南市街,南溪（永康城区华溪汇合断面以上）、永康江（华溪汇合断面至武义交界）,,,,21/12/2021 15:14:30
20098,GC11A000000S,坑门溪,1,0,18,96.6,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20099,GC2BAA00000R,中山河,1,2,22,63.5,GC2BA000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20100,GBBB0000000L,贞溪,1,2,39,284,GBB00000000L,浙江省,,缙云县,溶江乡,山坑村,浙江省,,缙云县,东渡镇,雅宅村,章溪（仁岸至雅宅）,,,,21/12/2021 15:14:30
20101,GAB3B000000L,马达溪,1,2,35,191,GAB00000000R,浙江省,,金华婺城区,琅琊镇,上盛,浙江省,,兰溪市,灵洞乡,耕头畈,,,,,21/12/2021 15:14:30
20102,GA4AA000000L,前源溪,1,2,21,53.8,GA4A0000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20103,GA5BD000000R,马剑溪,1,2,15,72.2,GA5B0000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20104,FHCSG000000P,盐平塘,1,-1,26,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20105,GA53C000000L,新桥江-受降溪,1,1,20,202,GA000000000S,浙江省,,富阳市,受降镇,东坞山村,浙江省,,富阳市,富春街道,鹳山社区,,,,,21/12/2021 15:14:30
20106,FHCUA000000P,洛塘河,1,-1,24,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20107,GA6A1B00000E,平水江,1,2,24,135,,浙江省,,绍兴县,平水镇,中嵋岙村,浙江省,,绍兴越城区,迪荡街道,龙舌嘴村,若耶溪,,,,21/12/2021 15:14:30
20108,FHCJM000000P,濮院港,1,-1,22,0,,浙江省,,嘉兴秀洲区,新塍镇,新塍镇镇区,浙江省,,嘉兴秀洲区,洪合镇,建北村,,,,,21/12/2021 15:14:30
20109,GAC7A000000R,向家溪,1,2,27,78.6,GAC00000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20110,GBC00000000R,小溪,1,1,222,3572,GB000000000S,浙江省,,庆元县,岭头乡,杨家庄村,浙江省,,青田县,鹤城镇,湖边村,毛垟港（庆元交溪亭至景宁县交见圩）,,,,21/12/2021 15:14:30
20111,GB52B0GC200Y,乐琯运河,1,-1,28,0,,浙江省,,乐清市,北白象镇,瑞里村,浙江省,,乐清市,北白象镇,琯头村,,,,,21/12/2021 15:14:30
20112,FHCBD000000P,旧馆塘,1,-1,11,0,,浙江省,,湖州南浔区,和孚镇,横港村,浙江省,,湖州南浔区,重兆镇,吴兴塘村,,,,,21/12/2021 15:14:30
20113,GB18A000000L,泉溪,1,1,22,69.6,GB000000000S,,,,,,,,,,,,,,,21/12/2021 15:14:30
20114,GC2BCCD0000P,侯青江,1,-1,4.6,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20115,GAB2A000000L,吴溪,1,2,26,182,GAB00000000R,浙江省,,义乌市,赤岸镇,大桥村,浙江省,,义乌市,佛堂镇,下市,,,,,21/12/2021 15:14:30
20116,GA6AB1B0000P,南池江,1,-1,6.3,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20117,GE2C1B00000R,双涧溪,1,1,20,73.2,GE2C0000000S,,,,,,,,,,,,,,,21/12/2021 15:14:30
20118,GA6AC3B0000P,白河江,1,-1,1.5,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20119,GBA1A000000L,高碧溪,1,2,21,117,GBA00000000L,浙江省,,遂昌县,三仁畲族乡,排前村,浙江省,,遂昌县,妙高镇,龙潭村,北溪,,,,21/12/2021 15:14:30
20120,GA1A0000000R,池淮溪,1,1,56,419,GA000000000S,江西省,,婺源县,江湾镇,东头村委会,浙江省,,开化县,华埠镇,华锋村,,,,,21/12/2021 15:14:30
20121,GC221C00000S,浦坝港,1,0,25,186,,浙江省,,三门县,花桥镇,方前村,浙江省,,三门县,沿赤乡,沿海工业园区,,,,,21/12/2021 15:14:30
20122,FHCH0000000P,上塘河,1,-1,50,0,,浙江省,,杭州下城区,长庆街道,长庆街道,浙江省,,海宁市,盐官镇,盐官村,,,,,21/12/2021 15:14:30
20123,GC211CB0000L,智仁溪,1,1,18,124,GC211C00000S,浙江省,,台州黄岩区,平田乡,车里岙村,浙江省,,乐清市,大荆镇,田岙村,双峰溪,,,,21/12/2021 15:14:30
20124,GABBB000000R,华溪,1,3,42,410,GABB0000000L,浙江省,,永康市,唐先镇,泮川村,浙江省,,永康市,西城街道,紫薇社区,,,,,21/12/2021 15:14:30
20125,FHCJ1C00000P,大红桥港,1,-1,12,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20126,GBCF0000000L,大顺坑,1,2,34,156,GBC00000000R,浙江省,,丽水莲都区,峰源乡,源头岭村,浙江省,,景宁县,九龙镇,大顺村,,,,,21/12/2021 15:14:30
20127,FHCB1B00000P,和尚塘,1,-1,8.7,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20128,FHCBB000000P,义家漾港,1,-1,17,0,,浙江省,,湖州南浔区,菱湖镇,东河村,浙江省,,湖州南浔区,和孚镇,富乐村,,,,,21/12/2021 15:14:30
20129,GA21A000000L,邵源溪,1,1,24,99.1,GA000000000S,,,,,,,,,,,状元溪，漴源溪（衢州市衢江区云溪乡黄甲山村以上）,,,,21/12/2021 15:14:30
20130,GC2ABA00000R,小溪坑,1,2,19,84,GC2AB000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20131,FHCKH000000P,莲花港,1,-1,5.4,0,,浙江省,,杭州余杭区,塘栖镇,柴家坞村,浙江省,,杭州余杭区,临平街道,屯里村,,,,,21/12/2021 15:14:30
20132,GC1BGAAA000P,下塘河,1,-1,7.6,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20133,GC21AAAH000P,木城河,1,-1,9.3,0,,浙江省,,温岭市,箬横镇,马桥村,浙江省,,温岭市,新河镇,渡南头村,,,,,21/12/2021 15:14:30
20134,FHCQ0000000K,红旗塘,1,-1,21,0,,浙江省,,嘉兴秀洲区,油车港镇,澄溪村,浙江省,,嘉善县,姚庄镇,武长村,,,,,21/12/2021 15:14:30
20135,GB1AB000000L,瀑云溪,1,2,23,106,GB1A0000000L,浙江省,,龙泉市,锦溪镇,黄永村,浙江省,,龙泉市,八都镇,双溪口村,,,,,21/12/2021 15:14:30
20136,GC2BCCCA000P,湖塘江,1,-1,4.9,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20137,GA6AB1A0000P,坡塘江,1,-1,7.2,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20138,FHCR1D00000P,铁店港,1,-1,8.4,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20139,FG1E1BA0000R,古田溪,1,4,23,67.9,FG1E1B00000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20140,GC226CAA000P,芦江,1,-1,12,0,,浙江省,,宁波北仑区,柴桥街道,岭下村,浙江省,,宁波北仑区,柴桥街道,穿山村,,,,,21/12/2021 15:14:30
20141,GC21AAAJ000P,箬松大河,1,-1,13,0,,浙江省,,温岭市,箬横镇,马桥村,浙江省,,温岭市,松门镇,松北村,,,,,21/12/2021 15:14:30
20142,GA6AFAA0000P,梅山江,1,-1,6,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20143,GA25A000000L,游埠溪,1,1,39,147,GA000000000S,浙江省,,龙游县,横山镇,天池村,浙江省,,兰溪市,游埠镇,三港,,,,,21/12/2021 15:14:30
