zly
id,lyn,nas,ty1,ty2,leng,area,ly,pro1,sss1,ssx1,xz1,cun1,pro2,sss2,ssx2,xz2,cun2,detail,pic,jst,remark,update_time
20155,FHCM1B00000P,新塍塘西支,1,-1,6.5,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20156,GBBCA000000L,严溪,1,3,17,67.8,GBBC0000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20157,GA6AC3D0000P,富盛江,1,-1,6.7,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20158,GC2A1A00000R,曹店港,1,1,21,92,GC2A0000000S,,,,,,,,,,,麻车坑(仙居县境内),,,,21/12/2021 15:14:30
20159,FHCP0000000P,太浦河,1,-1,57,0,,江苏省,,吴江市,七都镇,联强村,江苏省,,青浦区,练塘镇,前进村,,,,,21/12/2021 15:14:30
20160,FHCSB000000P,伍子塘,1,-1,25,0,,浙江省,,嘉兴南湖区,新丰镇,新丰镇镇政府,浙江省,,嘉善县,干窑镇,范东村,,,,,21/12/2021 15:14:30
20161,GA6AGB00000P,大坂湖直江,1,-1,12,0,,浙江省,,绍兴县,湖塘街道,鉴湖村,浙江省,,绍兴县,安昌镇,长乐村,,,,,21/12/2021 15:14:30
20162,GC2BC0GADA0K,三八江,1,-1,19,0,,浙江省,,慈溪市,长河镇,贤江村,浙江省,,慈溪市,,市海涂地,,,,,21/12/2021 15:14:30
20163,GBD2A000000L,张溪,1,2,31,139,GBD00000000L,浙江省,,永嘉县,张溪乡,金竹溪村,浙江省,,永嘉县,岩头镇,福佑村,,,,,21/12/2021 15:14:30
20164,FHCKL000000P,红旗河,1,-1,2.7,0,,浙江省,,杭州拱墅区,祥符街道,孙家埭村,浙江省,,杭州拱墅区,上塘街道,瓜山社区,,,,,21/12/2021 15:14:30
20165,GC211CA0000R,龙西溪,1,1,15,50.8,GC211C00000S,,,,,,,,,,,,,,,21/12/2021 15:14:30
20166,GAF6C000000R,隐潭溪,1,2,34,97.9,GAF00000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20167,GC21AAAB000P,南官河,1,-1,30,0,,浙江省,,台州黄岩区,西城街道,西洋郑村,浙江省,,温岭市,泽国镇,姜家村,,,,,21/12/2021 15:14:30
20168,GA6AKC00000P,十工段直河,1,-1,16,0,,浙江省,,杭州萧山区,党山镇,兴围村,浙江省,,杭州萧山区,,新街镇垦种,,,,,21/12/2021 15:14:30
20169,GC2BB1A0000M,后塘河,1,1,33,88.5,GC2B0000000S,,,,,,,,,,,,,,,21/12/2021 15:14:30
20170,GC1A1C00000R,沪山内河,1,1,21,111,GC1A0000000S,浙江省,,苍南县,桥墩镇,苍南县林场（玉苍林区）,浙江省,,平阳县,萧江镇,浦口村,,,,,21/12/2021 15:14:30
20171,GA6AC000000Y,浙东运河,1,-1,55,0,,浙江省,,杭州萧山区,衙前镇,四翔村,浙江省,,上虞市,曹娥街道,联丰村,,,,,21/12/2021 15:14:30
20172,GBDC0000000R,小楠溪,1,2,86,646,GBD00000000L,浙江省,,缙云县,大洋镇,缙云县林场5,浙江省,,永嘉县,沙头镇,九丈村,石染溪（黄坦溪汇合断面以上）,,,,21/12/2021 15:14:30
20173,FHCBJ000000P,汤溇港,1,-1,10,0,,浙江省,,湖州南浔区,南浔镇,祜村村,浙江省,,湖州吴兴区,织里镇,汤娄村,,,,,21/12/2021 15:14:30
20174,GA6AB000000P,南环河,1,-1,9.1,0,,浙江省,,绍兴县,兰亭镇,金庄村,浙江省,,绍兴越城区,迪荡街道,龙舌嘴村,,,,,21/12/2021 15:14:30
20175,GADA0000000R,昌西溪,1,2,48,373,GAD00000000L,浙江省,,临安市,清凉峰镇,清凉峰自然保护区,浙江省,,临安市,龙岗镇,兴龙村,,,,,21/12/2021 15:14:30
20176,GC2BC0GAAAAK,七六丘中心河,1,-1,26,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20177,FHCJHC00000P,袁硖港,1,-1,14,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20178,GAB1BB00000L,渼沙溪,1,3,22,58.9,GAB1B000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20179,GB16A000000L,道太溪,1,1,27,124,GB000000000S,浙江省,,龙泉市,枫坪乡,下吉村,浙江省,,龙泉市,道太乡,道太村,,,,,21/12/2021 15:14:30
20180,GC2BCE00000P,中大河,1,-1,19,0,,浙江省,,宁波镇海区,招宝山街道,涨鉴碶,浙江省,,宁波镇海区,九龙湖镇,中心村,,,,,21/12/2021 15:14:30
20181,GAFEA000000L,雪溪,1,3,27,60.1,GAFE0000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20182,GA11CA00000R,塘坞溪,1,2,27,67.8,GA11C000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20183,FHCB1A00000P,长生塘,1,-1,8.5,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20184,GB52BAAB000P,柳白河,1,-1,16,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20185,FHCFF000000P,高桥港,1,-1,4.1,0,,浙江省,,杭州余杭区,仓前镇,吴山前村,浙江省,,杭州西湖区,三墩镇,双桥村,,,,,21/12/2021 15:14:30
20186,FHCDAA00000P,横古塘,1,-1,6.3,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20187,GA6AHC00000P,五堡直河,1,-1,8.7,0,,浙江省,,杭州萧山区,宁围镇,丰东村,浙江省,,杭州萧山区,宁围镇,五堡排涝闸,,,,,21/12/2021 15:14:30
20188,GC2A2A00000L,双港溪,1,1,22,141,GC2A0000000S,浙江省,,临海市,白水洋镇,大岩下村,浙江省,,临海市,白水洋镇,上峰村,,,,,21/12/2021 15:14:30
20189,GACF0000000R,武强溪,1,2,92,1912,GAC00000000L,安徽省,,歙县,狮石乡,石门林场,浙江省,,淳安县,汾口镇,舒翠村,营川河（安徽境内）,,,,21/12/2021 15:14:30
20190,GABAD000000R,南溪,1,3,14,50.7,GABA0000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20191,FHCM0000000Y,澜溪塘,1,-1,29,0,,浙江省,,桐乡市,乌镇镇,分水墩村,江苏省,,吴江市,平望镇,平望建成区,,,,,21/12/2021 15:14:30
20192,GC1B1A00000R,里光溪,1,1,27,153,GC1B0000000S,浙江省,,泰顺县,乌岩岭自然保护区,乌岩岭林场,浙江省,,泰顺县,司前畲族镇,溪口村,浯溪,,,,21/12/2021 15:14:30
20193,GC2BC0GADC0K,沿山大河,1,-1,17,0,,浙江省,,宁波镇海区,澥浦镇,化工园区,浙江省,,宁波镇海区,九龙湖镇,九龙湖村,姚江东排沿山大河,,,,21/12/2021 15:14:30
20194,GAA2A000000R,独源坑,1,2,16,52,GAA00000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20195,GA6ACA00000P,夏履江,1,-1,23,0,,浙江省,,绍兴县,湖塘街道,永联村,浙江省,,绍兴县,钱清镇,南钱清村,,,,,21/12/2021 15:14:30
20196,FHCT1D00000P,武通港,1,-1,17,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20197,GA53D000000R,富阳大源溪,1,1,28,166,GA000000000S,浙江省,,杭州萧山区,戴村镇,骆家舍村,浙江省,,富阳市,东洲街道,王家宕村,,,,,21/12/2021 15:14:30
20198,GABA0000000L,南江,1,2,107,936,GAB00000000R,浙江省,,磐安县,深泽乡,马祥村,浙江省,,义乌市,稠江街道,红联村,,,,,21/12/2021 15:14:30
20199,GAFDC000000L,石璜江,1,3,29,98.5,GAFD0000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20200,GA4B0000000L,胥溪,1,1,40,194,GA000000000S,浙江省,,桐庐县,钟山乡,歌舞村,浙江省,,建德市,乾潭镇,建德林场江南分场,,,,,21/12/2021 15:14:30
20201,GAC8A000000L,莲花溪,1,2,24,117,GAC00000000L,浙江省,,建德市,莲花镇,戴家村,浙江省,,建德市,洋溪街道,洋溪社区,,,,,21/12/2021 15:14:30
20202,GC225D00000S,颜公河,1,0,18,86.9,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20203,GC2ACB00000R,大田河,1,2,22,132,GC2AC000000L,浙江省,,临海市,汇溪镇,岭脚村,浙江省,,临海市,大洋街道,大路王村,,,,,21/12/2021 15:14:30
20204,GADB0000000R,昌南溪,1,2,42,295,GAD00000000L,浙江省,,淳安县,瑶山乡,天坪村,浙江省,,临安市,河桥镇,河桥村,,,,,21/12/2021 15:14:30
20205,GAFEB000000L,莒根溪,1,3,35,98.2,GAFE0000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20206,FHBA1AA0000R,南溪,1,4,48,384,FHBA1A00000M,浙江省,,安吉县,章村镇,龙王山自然保护区,浙江省,,安吉县,递铺镇,六庄村,,,,,21/12/2021 15:14:30
20207,GC2ADEA0000R,南中泾,1,3,18,72.7,GC2ADE00000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20208,GAF00000000R,曹娥江,1,1,198,4481,GA000000000S,浙江省,,磐安县,尚湖镇,大王村,浙江省,,绍兴县,,曹娥江大闸,夹溪（磐安境内）、澄潭江（镜岭水库坝址至嵊州市捣臼爿汇合新昌江）,,,,21/12/2021 15:14:30
20209,GB17B000000L,武溪,1,1,15,50,GB000000000S,,,,,,,,,,,,,,,21/12/2021 15:14:30
20210,GA6AKG00000P,龙虎横河,1,-1,3.8,0,,浙江省,,杭州萧山区,南阳街道,龙虎村,浙江省,,杭州萧山区,河庄街道,建设村,,,,,21/12/2021 15:14:30
20211,GDDC0000000L,松溪,1,2,198,4778,GDD00000000L,浙江省,,庆元县,举水乡,落岭村,福建省,,建瓯市,瓯宁街道,水西村,,,,,21/12/2021 15:14:30
20212,GA6AFA00000P,马山闸西江,1,-1,25,0,,浙江省,,绍兴越城区,马山镇,宁乐村,浙江省,,绍兴县,钱清镇,凤仪村,,,,,21/12/2021 15:14:30
20213,GACFD000000R,商家源,1,3,31,116,GACF0000000R,浙江省,,淳安县,里商乡,石门村,浙江省,,淳安县,里商乡,里阳村,里商溪,,,,21/12/2021 15:14:30
20214,GAFDA000000R,南溪,1,3,33,128,GAFD0000000L,浙江省,,东阳市,三单乡,搭钩,浙江省,,嵊州市,长乐镇,太平村,,,,,21/12/2021 15:14:30
20215,GA61BAC0000P,三号大堤护塘河,1,-1,13,0,,浙江省,,杭州江干区,下沙街道,杭州经济技术开发区,浙江省,,杭州江干区,下沙街道,乔司农场,,,,,21/12/2021 15:14:30
20216,FHBA1ADB000L,泥河,1,5,21,94.8,FHBA1AD0000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20217,GBA2D000000R,竹溪源,1,2,19,52.5,GBA00000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20218,FHCR1F00000P,北郊河,1,-1,13,0,,浙江省,,嘉兴秀洲区,新城街道,中山社区,浙江省,,嘉兴秀洲区,塘汇街道,鸣羊村,,,,,21/12/2021 15:14:30
20219,GBC1A000000L,后溪,1,2,17,57.5,GBC00000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20220,FHBA1ACB000R,递溪,1,5,21,140,FHBA1AC0000R,浙江省,,杭州余杭区,百丈镇,石竹园村,浙江省,,安吉县,递铺镇,雾山寺村,递铺溪,,,,21/12/2021 15:14:30
20221,GC211AAB000P,西干河,1,-1,22,0,,浙江省,,乐清市,虹桥镇,樟岙村,浙江省,,乐清市,城东街道,土墩塘村,,,,,21/12/2021 15:14:30
20222,GB2AC000000R,吾赤坑,1,2,13,50,GB2A0000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20223,FHCJGB00000P,六平申,1,-1,8.5,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20224,GC2A1C00000L,九都坑,1,1,27,107,GC2A0000000S,浙江省,,磐安县,仁川镇,平象村,浙江省,,仙居县,埠头镇,西亚村,九都港(仙居县境内),,,,21/12/2021 15:14:30
20225,GAFF0000000R,下管溪,1,2,40,236,GAF00000000R,浙江省,,余姚市,大岚镇,大岚村,浙江省,,上虞市,上浦镇,九连村,,,,,21/12/2021 15:14:30
20226,GA61BAF0000P,新塘河西段,1,-1,19,0,,浙江省,,海宁市,许村镇,翁埠村,浙江省,,海宁市,盐官镇,盐官村,,,,,21/12/2021 15:14:30
20227,GB2AA000000L,东溪,1,2,25,165,GB2A0000000L,浙江省,,武义县,新宅镇,安村,浙江省,,武义县,柳城畲族镇,祝村,,,,,21/12/2021 15:14:30
20228,GA2CB000000R,潘滨水,1,2,23,69.7,GA2C0000000R,,,,,,,,,,,"桃源溪,擅溪(龙游县沐尘乡马戍口以上)",,,,21/12/2021 15:14:30
20229,GC2AD000000R,永宁江,1,1,80,898,GC2A0000000S,浙江省,,台州黄岩区,上郑乡,大寺基林场,浙江省,,临海市,涌泉镇,塘头村,,,,,21/12/2021 15:14:30
20230,GA7AB000000P,八塘横江,1,-1,57,0,,浙江省,,慈溪市,附海镇,东港村,浙江省,,慈溪市,,庵东农场,,,,,21/12/2021 15:14:30
20231,GE24F000000S,双岳溪,1,0,26,116,,浙江省,,苍南县,桥墩镇,新利村,福建省,,福鼎市,前岐镇,薛桥村,,,,,21/12/2021 15:14:30
20232,GC2AB2A0000R,黄水溪,1,2,17,50,GC2AB000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20233,GA6AFB00000P,外官塘,1,-1,11,0,,浙江省,,绍兴越城区,蕺山街道,蕺山村,浙江省,,绍兴越城区,斗门镇,荷湖村,,,,,21/12/2021 15:14:30
20234,GC1A1D00000L,梅溪,1,1,22,74.4,GC1A0000000S,,,,,,,,,,,,,,,21/12/2021 15:14:30
20235,GA6AA000000P,西小江,1,-1,25,0,,浙江省,,杭州萧山区,所前镇,联华新村村,浙江省,,绍兴县,钱清镇,前梅村,,,,,21/12/2021 15:14:30
20236,GC21AAAL000P,严家浦,1,-1,6.3,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20237,GA2CA000000R,官溪,1,2,26,153,GA2C0000000R,浙江省,,遂昌县,新路湾镇,桐川村,浙江省,,遂昌县,北界镇,坑里潘村,,,,,21/12/2021 15:14:30
20238,GABAB000000L,柽溪,1,3,27,216,GABA0000000L,浙江省,,东阳市,千祥镇,岭脚,浙江省,,东阳市,南马镇,沙城头,,,,,21/12/2021 15:14:30
20239,GA3A0000000L,甘溪,1,1,33,191,GA000000000S,浙江省,,建德市,更楼街道,洪宅村,浙江省,,兰溪市,女埠街道,泽基,,,,,21/12/2021 15:14:30
20240,GA61BAB0000P,下沙六号渠,1,-1,8.9,0,,浙江省,,杭州江干区,下沙街道,七格社区,浙江省,,杭州江干区,下沙街道,杭州经济技术开发区,,,,,21/12/2021 15:14:30
20241,GA61BAA0000P,临江护塘河,1,-1,13,0,,浙江省,,杭州江干区,下沙街道,杭州经济技术开发区,浙江省,,杭州江干区,下沙街道,杭州经济技术开发区,,,,,21/12/2021 15:14:30
20242,GE24G000000S,照兰溪,1,0,24,132,,浙江省,,苍南县,矾山镇,中岙村,福建省,,福鼎市,前岐镇,浅岐村,南宋溪,,,,21/12/2021 15:14:30
20243,GAC8C000000L,长宁溪,1,2,25,104,GAC00000000L,浙江省,,建德市,杨村桥镇,龙源村,浙江省,,建德市,杨村桥镇,十里埠村,,,,,21/12/2021 15:14:30
20244,FHCFB000000P,九曲桥港,1,-1,9.7,0,,浙江省,,杭州余杭区,良渚镇,荀山村,浙江省,,杭州西湖区,三墩镇,塘河村,,,,,21/12/2021 15:14:30
20245,GAA00000000R,乌溪江,1,1,162,2602,GA000000000S,福建省,,浦城县,忠信镇,忠信镇国有林,浙江省,,衢州衢江区,浮石街道,塔底村,东溪、周公源（衢州市衢江区樟潭镇樟树潭以上）,,,,21/12/2021 15:14:30
20246,GB2AB000000R,竹客溪,1,2,16,83.6,GB2A0000000L,,,,,,,,,,,杉溪（武义境内）,,,,21/12/2021 15:14:30
20247,GAEC0000000R,开化江,1,2,48,599,GAE00000000R,浙江省,,诸暨市,岭北镇,岭北周村,浙江省,,诸暨市,暨阳街道,杨树畈村,璜山江（街亭断面以上）,,,,21/12/2021 15:14:30
20248,GC1AA000000R,横阳支江,1,1,58,383,GC1A0000000S,浙江省,,泰顺县,泗溪镇,九峰乡塆头村,浙江省,,苍南县,龙港镇,三垟村,,,,,21/12/2021 15:14:30
20249,GA11C000000L,村头溪,1,1,25,159,GA000000000S,浙江省,,开化县,大溪边乡,黄谷村,浙江省,,开化县,音坑乡,上底本村,金水（开化县音坑乡傅里以上）,,,,21/12/2021 15:14:30
20250,GDDCBB00000R,上济溪,1,4,22,61,GDDCB000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20251,GBD4A000000L,陡门溪,1,2,20,94.4,GBD00000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20252,GB52B1A0000E,白石溪,1,1,15,50,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20253,GBCD0000000L,梧桐坑,1,2,34,145,GBC00000000R,浙江省,,云和县,黄源乡,陈坞村,浙江省,,景宁县,梧桐乡,梧桐坑村,,,,,21/12/2021 15:14:30
20254,FHCCB000000P,善琏塘,1,-1,22,0,,浙江省,,德清县,新市镇,新市镇集镇,浙江省,,湖州南浔区,双林镇,倪家滩村,,,,,21/12/2021 15:14:30
20255,GBCB0000000L,英川溪,1,2,47,403,GBC00000000R,浙江省,,龙泉市,龙南乡,龙案村,浙江省,,景宁县,沙湾镇,道化村,英川港,,,,21/12/2021 15:14:30
20256,FHBA1AD0000L,浑泥港,1,4,41,280,FHBA1A00000M,浙江省,,安吉县,鄣吴镇,上堡村,浙江省,,安吉县,梅溪镇,马村村,沙河（上游段）,,,,21/12/2021 15:14:30
20257,GA6AMB00000P,杭柴直河,1,-1,2.5,0,,浙江省,,杭州萧山区,新塘街道,行头村,浙江省,,杭州萧山区,新塘街道,一都孙村,,,,,21/12/2021 15:14:30
20258,FHCKG000000P,新桥港,1,-1,5.9,0,,浙江省,,杭州拱墅区,半山镇,石塘村,浙江省,,杭州余杭区,塘栖镇,宏畔村,,,,,21/12/2021 15:14:30
20259,FHCT1C00000P,酱园港,1,-1,10,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20260,GA6AHA00000P,永久河,1,-1,7.1,0,,浙江省,,杭州滨江区,浦沿街道,新生村,浙江省,,杭州滨江区,长河街道,江三社区,,,,,21/12/2021 15:14:30
20261,GA6AF000000P,三江大河,1,-1,22,0,,浙江省,,绍兴县,钱清镇,凤仪村,浙江省,,绍兴县,马鞍镇,滨海开发区,,,,,21/12/2021 15:14:30
20262,GC226CAAA00P,北仑沿山大河,1,-1,11,0,,浙江省,,宁波北仑区,大碶街道,湖塘村,浙江省,,宁波北仑区,新碶街道,北仑电厂,,,,,21/12/2021 15:14:30
20263,GC2BC0GAD1AK,建塘江,1,-1,17,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20264,GC2BBBB0000P,界牌碶河,1,-1,7.4,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20265,GC21AAAM000P,廿四弓河,1,-1,10,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20266,GA3B0000000R,梅溪,1,1,51,469,GA000000000S,浙江省,,兰溪市,梅江镇,城头（荷盘塘）,浙江省,,兰溪市,香溪镇,杨村,,,,,21/12/2021 15:14:30
20267,FHCDB000000P,十字港,1,-1,18,0,,浙江省,,杭州余杭区,仁和镇,新桥村,浙江省,,德清县,钟管镇,下塘村,,,,,21/12/2021 15:14:30
20268,GBCBC000000L,南坑下溪,1,3,17,78.9,GBCB0000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20269,GB5AABA0000P,永强塘河,1,-1,15,0,,浙江省,,温州龙湾区,天河镇,后片村,浙江省,,温州龙湾区,海滨街道,兰田村,,,,,21/12/2021 15:14:30
20270,FHCA1A00000P,北横塘,1,-1,25,0,,浙江省,,湖州吴兴区,八里店镇,谈家扇村,浙江省,,湖州吴兴区,织里镇,陆家湾村,,,,,21/12/2021 15:14:30
20271,FHCSH000000P,上海塘,1,-1,21,0,,浙江省,,平湖市,当湖街道,吉芳社区,上海市,,金山区,吕巷镇,夹漏村,,,,,21/12/2021 15:14:30
20272,GA11E000000L,金村溪,1,1,28,76.6,GA000000000S,,,,,,,,,,,古溪（开化县城东双溪桥以上）,,,,21/12/2021 15:14:30
20273,GC2BBBA0000P,高钱河,1,-1,6.5,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20274,FHBA1B2A000L,马溪,1,3,12,50,FHBA1B00000M,,,,,,,,,,,,,,,21/12/2021 15:14:30
20275,GA6AJ000000P,义南横河,1,-1,17,0,,浙江省,,杭州萧山区,,红山农场,浙江省,,杭州萧山区,党湾镇,永乐村,,,,,21/12/2021 15:14:30
20276,GAE2A000000L,同山溪,1,2,15,50,GAE00000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20277,GA4A0000000R,后源溪 ,1,1,26,178,GA000000000S,浙江省,,建德市,乾潭镇,梓洲村,浙江省,,建德市,梅城镇,建德市桑苗良种,三都溪,,,,21/12/2021 15:14:30
20278,GC2BBAA0000P,九曲河,1,-1,14,0,,浙江省,,宁波鄞州区,云龙镇,云龙村,浙江省,,宁波鄞州区,钟公庙街道,铜盆浦村,,,,,21/12/2021 15:14:30
20279,FHCHC000000P,和睦港,1,-1,12,0,,浙江省,,杭州江干区,九堡镇,杨公社区,浙江省,,杭州余杭区,星桥街道,汤家村,,,,,21/12/2021 15:14:30
20280,GB4A0000000R,四都港,1,1,45,303,GB000000000S,浙江省,,青田县,阜山乡,吴庄村,浙江省,,青田县,油竹管委会,彭括村,,,,,21/12/2021 15:14:30
20281,GAFAA000000R,万年江,1,3,17,64.6,GAFA0000000R,,,,,,,,,,,"横渡溪,万马渡(天台县境内)",,,,21/12/2021 15:14:30
20282,GC2AC000000L,大田港,1,1,49,514,GC2A0000000S,浙江省,,临海市,小芝镇,横峙村,浙江省,,临海市,大洋街道,五孔岙村,,,,,21/12/2021 15:14:30
20283,GC2BC0GAD3AK,四灶浦,1,-1,18,0,,浙江省,,慈溪市,浒山街道,三洞桥村,浙江省,,慈溪市,胜山镇,四灶村,,,,,21/12/2021 15:14:30
20284,GB3D0000000R,雄溪源,1,1,21,65.8,GB000000000S,,,,,,,,,,,,,,,21/12/2021 15:14:30
20285,FHCEE000000P,三墩港,1,-1,9.7,0,,浙江省,,杭州西湖区,三墩镇,双桥村,浙江省,,杭州拱墅区,祥符街道,祥符桥社区,,,,,21/12/2021 15:14:30
20286,GC22DC00000L,大溪,1,1,36,201,GC22D000000S,浙江省,,宁海县,深甽镇,大洋,浙江省,,宁海县,跃龙街道,元峰,,,,,21/12/2021 15:14:30
20287,GBCCA000000R,上标溪,1,3,23,138,GBCC0000000R,浙江省,,景宁县,景南乡,上标林场,浙江省,,景宁县,雁溪乡,柘塆村,雁溪,,,,21/12/2021 15:14:30
20288,FHCKF000000P,内排港,1,-1,11,0,,浙江省,,杭州余杭区,崇贤镇,鸭兰村,浙江省,,杭州余杭区,塘栖镇,朱家角村,,,,,21/12/2021 15:14:30
20289,GAA2BA00000R,对正坑,1,3,15,68.6,GAA2B000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20290,GC21A1AA000L,横石河,1,2,16,78.5,GC21A1A0000E,,,,,,,,,,,桐山溪（横石河断面以上）,,,,21/12/2021 15:14:30
20291,GB5AAB00000P,瑶溪,1,-1,7.4,0,,浙江省,,温州龙湾区,瑶溪镇,瑶璋村,浙江省,,温州龙湾区,瑶溪镇,白楼下村,,,,,21/12/2021 15:14:30
20292,FHBA1BDA000R,太平溪,1,4,27,99.7,FHBA1BD0000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20293,FHCJK000000P,北永兴港,1,-1,12,0,,浙江省,,桐乡市,乌镇镇,浙月村,浙江省,,桐乡市,梧桐街道,新妙智村,,,,,21/12/2021 15:14:30
20294,GAD1A000000L,仁里溪,1,2,18,66.7,GAD00000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20295,GAA5A000000R,举埠溪,1,2,19,76.6,GAA00000000R,,,,,,,,,,,椐村源、翁源，举村源(衢州市衢江区举村乡九村山以上),,,,21/12/2021 15:14:30
20296,FHCTD000000P,里洪塘,1,-1,12,0,,浙江省,,海盐县,于城镇,三联村,浙江省,,海盐县,通元镇,浦漾村,,,,,21/12/2021 15:14:30
20297,FHCJ1B00000P,中沙渚塘,1,-1,12,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20298,GA1CB000000L,广渡溪,1,2,29,129,GA1C0000000R,浙江省,,江山市,保安乡,龙溪村,浙江省,,江山市,峡口镇,合新村,广川（江山市峡口镇模溪淤村模山以上）,,,,21/12/2021 15:14:30
20299,FHCSD000000P,王庙塘,1,-1,5.8,0,,浙江省,,嘉兴南湖区,余新镇,永利村,浙江省,,嘉兴南湖区,凤桥镇,凤桥社区,,,,,21/12/2021 15:14:30
20300,FHCSHA00000P,大寨河,1,-1,8.9,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20301,GAFA0000000R,左于江,1,2,47,250,GAF00000000R,浙江省,,天台县,三州乡,黄润坑村,浙江省,,新昌县,澄潭镇,左于村,门溪(天台县境内),,,,21/12/2021 15:14:30
20302,FG1E1B00000L,体泉水,1,3,79,666,FG1E0000000E,浙江省,,开化县,苏庄镇,横忠村,江西省,,德兴市,海口镇,畜牧良种场,银港水、九都水,,,,21/12/2021 15:14:30
20303,FHCJDA00000P,大有桥港,1,-1,11,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20304,GA1B0000000L,芳村溪,1,1,51,354,GA000000000S,浙江省,,常山县,新桥乡,溪源山村,浙江省,,常山县,招贤镇,象湖村,,,,,21/12/2021 15:14:30
20305,GABB1A00000R,溪南溪,1,3,22,72.1,GABB0000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20306,GC1BDA00000L,东溪,1,2,20,69.5,GC1BD000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20307,FHBA1BB0000R,灵溪,1,3,17,125,FHBA1B00000M,浙江省,,临安市,板桥乡,牌联村,浙江省,,临安市,青山湖街道,青山湖,,,,,21/12/2021 15:14:30
20308,GA61A000000L,上泗沿山河,1,1,15,73.9,GA000000000S,,,,,,,,,,,,,,,21/12/2021 15:14:30
20309,FHCEC000000P,潘塘港,1,-1,3.8,0,,浙江省,,杭州余杭区,良渚镇,良渚村,浙江省,,杭州余杭区,良渚镇,勾庄村,,,,,21/12/2021 15:14:30
20310,GAFB0000000L,小乌溪江,1,2,39,159,GAF00000000R,浙江省,,东阳市,三单乡,时华,浙江省,,嵊州市,甘霖镇,苍岩村,,,,,21/12/2021 15:14:30
20311,GA1CE000000R,哒河溪,1,2,34,238,GA1C0000000R,浙江省,,江山市,塘源口乡,洪福村,浙江省,,江山市,碗窑乡,桑淤村,源口溪（江山市碗窑乡桑淤村以上）,,,,21/12/2021 15:14:30
20312,GE2C11A0000R,北溪,1,1,16,55.6,GE2C0000000S,,,,,,,,,,,,,,,21/12/2021 15:14:30
20313,GAABC000000R,金竹溪,1,3,20,88.5,GAAB0000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20314,GC1BEA00000L,林溪,1,2,16,83.9,GC1BE000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20315,GB3E0000000L,船寮溪,1,1,42,359,GB000000000S,浙江省,,缙云县,大洋镇,石亭村,浙江省,,青田县,船寮镇,船寮村,船寮港,,,,21/12/2021 15:14:30
20316,GBC7A000000L,小顺源,1,2,24,86.1,GBC00000000R,,,,,,,,,,,小顺港,,,,21/12/2021 15:14:30
