"id","zh","pro","sss","ssx","zl","zm","item","ir","iw","jd","wd","jm","zz","ly","xly","class","jjsw","bzsw","xxsw","zcsw","htz","time","update_time"
"38","63001600","浙江省","湖州市","德清县","ZZ","德清大桥","Z","1","1","120.074713","30.548036","85黄海","乾元镇德清大桥","苕溪",,,,,,,"4.749","1999-07-01","24/10/2021 14:42:54"
"39","63002400","浙江省","湖州市","吴兴区","ZQ","杭长桥","PZ","1","1","120.077469","30.866664","85黄海","西门杭长桥","苕溪",,,"2.66","3.16",,,"3.83","2021-07-28","24/10/2021 14:42:54"
"40","63002415","浙江省","杭州市","临安区","RR","金猫坞水库","PZ","1","1","119.4975","30.256666",,,"苕溪",,,,,,,,,"2/12/2021 10:57:22"
"41","63002420","浙江省","杭州市","临安区","RR","夏村水库","PZ","1","1","119.563116","30.329876",,,"苕溪",,,,,,,,,"2/12/2021 10:57:41"
"42","63002425","浙江省","杭州市","临安区","RR","临安石壁水库","PZ","1","1","119.659444","30.270555",,,"苕溪",,,,,,,,,"2/12/2021 10:56:37"
"43","63002430","浙江省","杭州市","临安区","RR","方家头水库","PZ","1","1","119.65929","30.168996",,,"苕溪",,,,,,,,,"2/12/2021 10:56:55"
"44","63002435","浙江省","杭州市","临安区","RR","大坑坞水库","PZ","1","1","119.679214","30.13998",,,"苕溪",,,,,,,,,"2/12/2021 10:57:12"
"45","63002440","浙江省","杭州市","临安区","RR","居仁水库","PZ","1","1","119.818888","30.168611",,,"苕溪",,,,,,,,,"2/12/2021 10:57:30"
"46","63002445","浙江省","杭州市","临安区","PP","桐坑","P","1","1","119.03867","30.016346",,,"钱塘江",,,,,,,,,"2/12/2021 14:03:25"
"47","63002450","浙江省","杭州市","余杭区","RR","官塘水库","Z","1","1","119.839028","30.293193",,,"苕溪",,,,,,,,,"2/12/2021 10:56:26"
"48","63002455","浙江省","杭州市","余杭区","RR","甘岭水库","PZ","1","1","119.859662","30.30931",,,"苕溪",,,,,,,,,"2/12/2021 10:57:47"
"49","63002460","浙江省","杭州市","余杭区","RR","里坞塘水库","Z","1","1","119.8451","30.300535",,,"苕溪",,,,,,,,,"2/12/2021 10:57:03"
"50","63002465","浙江省","杭州市","余杭区","RR","外大坞水库","Z","1","1","119.855074","30.302582",,,"苕溪",,,,,,,,,"2/12/2021 10:57:20"
"51","63002500","浙江省","杭州市","余杭区","ZQ","南湖分洪闸上","PZ","1","1","119.906972","30.267194",,,"苕溪",,,,,,,,,"2/12/2021 10:57:39"
"52","63002501","浙江省","杭州市","余杭区","ZZ","南湖滞洪区","Z","1","1","119.908972","30.266916",,,"苕溪",,,,,,,,,"2/12/2021 10:56:34"
"53","63002550","浙江省","杭州市","临安区","RR","水涛庄水库","PZ","1","1","119.7099","30.344048",,,"苕溪",,,,,,"141.2",,,"1/12/2021 18:54:49"
"54","63002600","浙江省","杭州市","余杭区","ZZ","余杭长乐","PZ","1","1","119.849339","30.338681",,,"苕溪",,,,,,,,,"2/12/2021 10:57:08"
"55","63002610","浙江省","杭州市","临安区","PP","林家塘","P","1","1","119.620833","30.416111",,,"苕溪",,,,,,,,,"2/12/2021 14:03:25"
"56","63002620","浙江省","杭州市","临安区","RR","大溪水库","PZ","1","1","119.664166","30.3275",,,"苕溪",,,,,,,,,"2/12/2021 10:57:25"
"57","63002640","浙江省","杭州市","临安区","RR","立塔口水库","PZ","1","1","119.723888","30.376944",,,"苕溪",,,,,,,,,"2/12/2021 10:56:21"
"58","63002650","浙江省","杭州市","余杭区","RR","余杭龙潭水库","PZ","1","1","119.784134","30.375307",,,"苕溪",,,,,,,,,"2/12/2021 10:58:00"
"59","63002660","浙江省","杭州市","余杭区","RR","茶草湾水库","Z","1","1","119.811361","30.359277",,,"苕溪",,,,,,,,,"2/12/2021 10:57:59"
"60","63002680","浙江省","杭州市","余杭区","RR","金刚塘水库","Z","1","1","119.817636","30.359592",,,"苕溪",,,,,,,,,"2/12/2021 10:57:15"
"61","63002700","浙江省","杭州市","余杭区","ZQ","北湖分洪闸上","PZ","1","1","119.912653","30.348055",,,"苕溪",,,"6","7.5",,,,,"1/12/2021 18:42:47"
"62","63002701","浙江省","杭州市","余杭区","ZZ","北湖滞洪区","Z","1","1","119.944196","30.361553",,,"苕溪",,,,,,,,,"2/12/2021 10:58:03"
"63","63002705","浙江省","杭州市","余杭区","DD","庄村闸","Z","1","1","119.937","30.374",,,"苕溪",,,,,,,,,"2/12/2021 10:56:47"
"64","63002710","浙江省","杭州市","余杭区","ZZ","汤湾渡","Z","1","1","119.945361","30.360833",,,"苕溪",,,,,,,,,"2/12/2021 10:57:05"
"65","63002750","浙江省","杭州市","余杭区","ZZ","横湖","PZ","1","1","119.803583","30.45725",,,"苕溪",,,,,,,,,"2/12/2021 10:57:23"
"66","63003015","浙江省","杭州市","余杭区","RR","皮山坞水库","PZ","1","1","119.753743","30.494718",,,"苕溪",,,,,,,,,"2/12/2021 10:56:19"
"67","63003025","浙江省","杭州市","余杭区","RR","仙佰坑水库","PZ","1","1",,,,,,,,,,,,,,"22/2/2021 01:24:16"
"68","63003035","浙江省","杭州市","余杭区","RR","狭石弄水库","Z","1","1",,,,,,,,,,,,,,"22/2/2021 01:24:16"
"69","63003045","浙江省","杭州市","余杭区","RR","石扶梯水库","PZ","1","1","119.814962","30.492858",,,"苕溪",,,,,,,,,"2/12/2021 10:56:37"
"70","63003065","浙江省","杭州市","余杭区","RR","龙坞水库","Z","1","1","119.848444","30.480805",,,"苕溪",,,,,,,,,"2/12/2021 10:56:55"
"71","63003075","浙江省","杭州市","余杭区","RR","龙兴桥水库","Z","1","1","119.840645","30.444716",,,"苕溪",,,,,,,,,"2/12/2021 10:57:13"
"72","63003085","浙江省","杭州市","余杭区","RR","余杭馒头山水库","PZ","1","1","119.703408","30.434056",,,"苕溪",,,,,,,,,"2/12/2021 10:57:31"
"73","63003086","浙江省","杭州市","余杭区","PP","馒头山雨量","P","1","1","119.704694","30.434805",,,"苕溪",,,,,,,,,"2/12/2021 14:03:25"
"74","63003100","浙江省","杭州市","余杭区","RR","四岭水库","PZ","1","1","119.78","30.421111",,,"苕溪",,,,,,"72.21",,,"1/12/2021 18:54:49"
"75","63003110","浙江省","杭州市","余杭区","ZZ","里洪溪","PZ","1","1","119.818416","30.411583",,,"苕溪",,,,,,,,,"2/12/2021 10:56:45"
"76","63003112","浙江省","杭州市","余杭区","RR","余杭石门水库","PZ","1","1","119.853134","30.442694",,,"苕溪",,,,,,,,,"2/12/2021 10:58:00"
"77","63003116","浙江省","杭州市","余杭区","RR","骑坑水库","PZ","1","1","119.891884","30.440525",,,"苕溪",,,,,,,,,"2/12/2021 10:57:21"
"78","63003118","浙江省","杭州市","余杭区","ZZ","彭公板石溪","PZ","1","1","119.912222","30.409888",,,"苕溪",,,,,,,,,"2/12/2021 10:57:39"
"79","63003122","浙江省","杭州市","余杭区","RR","湖北坞水库","PZ","1","1","119.947298","30.415443",,,"苕溪",,,,,,,,,"2/12/2021 10:56:35"
"80","63003124","浙江省","杭州市","余杭区","RR","西中水库","PZ","1","1","119.955083","30.419833",,,"苕溪",,,,,,,,,"2/12/2021 10:56:53"
"81","63003126","浙江省","杭州市","余杭区","RR","康门水库","PZ","1","1","119.987944","30.422027",,,"苕溪",,,,,,,,,"2/12/2021 10:58:00"
"82","63003135","浙江省","湖州市","德清县","RR","平堰水库","PZ","1","1","120.039647","30.435255",,,"苕溪",,,,,,,,,"2/12/2021 10:57:28"
"83","63003150","浙江省","湖州市","德清县","RR","德清东坞水库","ZP","1","1","119.901118","30.510487",,,"苕溪",,,,,,,,,"2/12/2021 10:56:24"
"84","63003160","浙江省","湖州市","德清县","ZZ","湘溪闸内港","PZ","1","1","120.051043","30.472",,,"苕溪",,,,,,,,,"2/12/2021 10:56:43"
"85","63003161","浙江省","湖州市","德清县","ZZ","湘溪闸外港","Z","1","1","120.051366","30.471859",,,"苕溪",,,,,,,,,"2/12/2021 10:57:01"
"86","63003170","浙江省","湖州市","德清县","RR","象跃水库","PZ","1","1","119.914112","30.496712",,,"苕溪",,,,,,,,,"2/12/2021 10:57:19"
"87","63003175","浙江省","湖州市","德清县","RR","芮家坞水库","PZ","1","1","119.935229","30.452078",,,"苕溪",,,,,,,,,"2/12/2021 10:57:37"
"88","63003180","浙江省","湖州市","德清县","RR","长春水库","ZP","1","1","119.962492","30.452981",,,"苕溪",,,,,,,,,"2/12/2021 10:56:32"
"89","63003185","浙江省","湖州市","德清县","ZZ","五龙闸","Z","1","1","120.001491","30.487726",,,"苕溪",,,,,,,,,"2/12/2021 10:56:51"
"90","63003200","浙江省","湖州市","德清县","RR","对河口水库","PZ","1","1","119.883383","30.514056",,,"苕溪",,,,,,"50.2",,,"1/12/2021 18:54:48"
"91","63003250","浙江省","湖州市","德清县","ZZ","新丰桥内港","PZ","1","1","120.008652","30.547874",,,"苕溪",,,,,,,,,"2/12/2021 10:57:26"
"92","63004400","浙江省","湖州市","德清县","ZZ","姜湾","PZ","1","1","119.836","30.568",,,"太湖",,,,,,,,,"2/12/2021 10:56:22"
"93","63004850","浙江省","湖州市","德清县","RR","石颐寺水库","ZP","1","1","119.872105","30.596833",,,"苕溪",,,,,,,,,"2/12/2021 10:56:41"
"94","63004900","浙江省","湖州市","德清县","ZZ","下渚湖","Z","1","1","120.036679","30.523508",,,"苕溪",,,,,,,,,"2/12/2021 10:56:59"
"95","63004950","浙江省","湖州市","德清县","ZZ","城西圩","Z","1","1","120.043468","30.558288",,,"苕溪",,,,,,,,,"2/12/2021 10:57:16"
"96","63005000","浙江省","湖州市","德清县","DD","德清大闸上","PZ","1","1","120.076888","30.544913","85黄海","乾元镇德清大闸","苕溪",,,"3.16","4.16",,,"4.629","2013-10-08","24/10/2021 14:42:54"
"97","63005200","浙江省","湖州市","德清县","DD","洛舍闸","Z","1","1","120.068643","30.621925","85黄海","德清县洛舍镇洛舍大闸","苕溪",,,"3.06","4.06",,,"4.539","1999-06-30","24/10/2021 14:42:54"
"98","63005220","浙江省","湖州市","德清县","ZZ","武康水文站","PZQ","1","1","119.989597","30.556778",,,"苕溪",,,,,,,,,"2/12/2021 10:56:48"
"99","63005222","浙江省","湖州市","德清县","RR","长林坞水库","PZ","1","1","119.902586","30.610416",,,"苕溪",,,,,,,,,"2/12/2021 10:57:06"
"100","63005224","浙江省","湖州市","德清县","RR","劳岭水库","PZ","1","1","119.888269","30.588736",,,"苕溪",,,,,,,,,"2/12/2021 10:57:24"
"101","63005226","浙江省","湖州市","德清县","RR","高家庵水库","PZ","1","1","119.908355","30.576422",,,"苕溪",,,,,,,,,"2/12/2021 10:56:20"
"102","63005228","浙江省","湖州市","德清县","RR","高峰水库","PZ","1","1","119.924959","30.611679",,,"苕溪",,,,,,,,,"2/12/2021 10:56:38"
"103","63005230","浙江省","湖州市","德清县","RR","黄婆岭水库","Z","1","1","119.939058","30.615602",,,"苕溪",,,,,,,,,"2/12/2021 10:56:57"
"104","63005232","浙江省","湖州市","德清县","RR","田青坞水库","Z","1","1","119.933101","30.607664",,,"苕溪",,,,,,,,,"2/12/2021 10:57:14"
"105","63005234","浙江省","湖州市","德清县","RR","杨坟坞水库","PZ","1","1","119.964722","30.598908",,,"苕溪",,,,,,,,,"2/12/2021 10:57:32"
"106","63005236","浙江省","湖州市","德清县","RR","高洪冲水库","Z","1","1","119.989274","30.582794",,,"苕溪",,,,,,,,,"2/12/2021 10:56:28"
"107","63005238","浙江省","湖州市","德清县","RR","市元坞水库","Z","1","1","120.005044","30.58532",,,"苕溪",,,,,,,,,"2/12/2021 10:56:46"
"108","63005240","浙江省","湖州市","德清县","RR","掘步岭水库","ZP","1","1","120.014202","30.595621",,,"苕溪",,,,,,,,,"2/12/2021 10:57:04"
